,,,,boaz's test,,,,,,,,,,our output Algo1,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,lat,lon,,,,,compare lon,compare lat,,,,,,lon,lat,
51,1c:b9:c4:95:1e:67, ,36,-83,32.10238085,35.21000654,712.1937427,03/12/2017 09:08,Approx. w-center algo1,,0,0,,,1c:b9:c4:95:1e:67,36,-83,32.10238085,35.21000654,712.1937427
133,1c:b9:c4:95:3a:37, ,44,-80,32.10238085,35.21000654,712.1937427,03/12/2017 09:08,Approx. w-center algo1,,0,0,,,1c:b9:c4:95:3a:37,44,-80,32.10238085,35.21000654,712.1937427
128,1c:b9:c4:15:3a:38,Ariel_University,11,-76,32.1024236,35.20967867,691.2650945,03/12/2017 08:54,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:15:3a:38,11,-76,32.1024236,35.20967867,691.2650945
83,1c:b9:c4:14:33:cc,Ariel_University,48,-86,32.10244119,35.20884914,686,03/12/2017 08:54,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:14:33:cc,48,-86,32.10244119,35.20884914,686
84,1c:b9:c4:15:3d:6c,Ariel_University,44,-84,32.1024612,35.20997699,711.9289257,03/12/2017 09:09,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:15:3d:6c,44,-84,32.1024612,35.20997699,711.9289257
115,f8:d1:11:77:77:c6,HelpDesk,4,-70,32.10250336,35.20915268,689.937678,03/12/2017 08:54,Approx. w-center algo1,,0,0,,Ariel_University,ec:8c:a2:26:b1:78,1,-69,32.10250336,35.20915268,689.937678
27,1c:b9:c4:15:1e:68,Ariel_University,1,-80,32.10250578,35.20955531,690.8556103,03/12/2017 08:54,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:15:1e:68,1,-80,32.10250578,35.20955531,690.8556103
98,c4:12:f5:f6:a0:18,lab_6.1.3,3,-80,32.10260082,35.2094311,690.3486239,03/12/2017 08:54,Approx. w-center algo1,,0,0,,shapedo,c2:6c:ac:9f:fb:1f,1,-82,32.10260082,35.2094311,690.3486239
140,1c:b9:c4:94:2c:37, ,52,-85,32.10262261,35.20989285,707.9593217,03/12/2017 09:04,Approx. w-center algo1,,0,0,,,1c:b9:c4:94:2c:37,52,-85,32.10262261,35.20989285,707.9593217
68,02:21:5c:af:69:82,DIRECT-IRDESKTOP-ETE41T5msTU,36,-90,32.1026245,35.20987441,707.9141706,03/12/2017 09:04,Approx. w-center algo1,,0,0,,DIRECT-IRDESKTOP-ETE41T5msTU,02:21:5c:af:69:82,36,-90,32.1026245,35.20987441,707.9141706
22,1c:b9:c4:96:11:a7, ,44,-87,32.1026849,35.20979542,707.8280473,03/12/2017 09:04,Approx. w-center algo1,,0,0,,,1c:b9:c4:96:11:a7,44,-87,32.1026849,35.20979542,707.8280473
72,30:e1:71:0f:a2:49,DIRECT-47-HP DeskJet 3630 series,6,-79,32.10268971,35.2098678,711.8977403,03/12/2017 09:09,Approx. w-center algo1,,0,0,,DIRECT-47-HP DeskJet 3630 series,30:e1:71:0f:a2:49,6,-79,32.10268971,35.2098678,711.8977403
8,1c:b9:c4:14:2c:3c,Ariel_University,52,-67,32.10270219,35.20982755,710.1110186,03/12/2017 09:09,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:14:2c:3c,52,-77,32.10270219,35.20982755,710.1110186
102,2a:56:5a:9e:2e:ce,DIRECT-ce-HP M426 LaserJet,6,-77,32.10273836,35.20985669,711.9071836,03/12/2017 09:09,Approx. w-center algo1,,0,0,,DIRECT-ce-HP M426 LaserJet,2a:56:5a:9e:2e:ce,6,-77,32.10273836,35.20985669,711.9071836
132,1c:b9:c4:14:2c:38,Ariel_University,6,-76,32.10274869,35.20982946,708.1143382,03/12/2017 09:04,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:14:2c:38,6,-76,32.10274869,35.20982946,708.1143382
29,1c:b9:c4:96:ee:97, ,36,-85,32.10275085,35.20975956,707.6527665,03/12/2017 09:04,Approx. w-center algo1,,0,0,,,1c:b9:c4:96:ee:97,36,-85,32.10275085,35.20975956,707.6527665
66,34:8f:27:20:8c:18,Ariel_University,6,-86,32.10279663,35.20884709,687.5,03/12/2017 08:54,Approx. w-center algo1,,0,0,,Ariel_University,34:8f:27:20:8c:18,6,-86,32.10279663,35.20884709,687.5
105,1c:b9:c4:16:11:ac,Ariel_University,44,-90,32.10282362,35.20871899,688,03/12/2017 08:54,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:16:11:ac,44,-90,32.10282362,35.20871899,688
76,1c:b9:c4:16:f4:7c,Ariel_University,36,-84,32.10282362,35.20871899,688,03/12/2017 08:54,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:16:f4:7c,36,-84,32.10282362,35.20871899,688
88,8c:0c:90:ad:75:e3, ,1,-76,32.10282362,35.20871899,688,03/12/2017 08:54,Approx. w-center algo1,,0,0,,Ariel_University,8c:0c:90:2e:e8:18,6,-90,32.10282362,35.20871899,688
61,ec:8c:a2:08:78:cc,Ariel_University,48,-85,32.10282362,35.20871899,688,03/12/2017 08:54,Approx. w-center algo1,,0,0,,OOP_course,e4:95:6e:40:87:1a,1,-12,32.10282362,35.20871899,688
